                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1181,                0.57384,                0.91786,                0.75476,                0.64045,                0.71792,                 0.4648,                 1.1838,                0.59101,                0.94067,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.1173,                0.57459,                0.91845,                0.74165,                0.77124,                0.77217,                0.48058,                 1.1897,                0.59108,                0.93938,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.1073,                0.56191,                0.91934,                0.79775,                0.67649,                0.74283,                0.47863,                 1.1906,                0.58684,                0.94463,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.0929,                0.55945,                0.90999,                0.80899,                0.68156,                 0.7382,                0.47863,                 1.1825,                0.57621,                0.94113,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.0907,                0.55811,                0.91512,                0.77036,                0.76417,                0.78413,                0.50232,                 1.1676,                0.57106,                0.93642,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0892,                 0.5562,                0.91482,                0.79859,                0.67653,                0.73012,                0.47049,                 1.1767,                0.58485,                0.94269,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.0957,                0.55519,                0.91155,                0.77695,                 0.7074,                0.75853,                0.49255,                 1.1719,                0.57989,                0.93941,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0726,                0.54336,                0.91136,                0.85387,                0.68378,                0.75571,                0.47224,                 1.1779,                0.56861,                0.93905,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0667,                0.54137,                0.90526,                0.80036,                0.70306,                0.74435,                0.49011,                 1.1782,                0.56736,                0.94229,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0617,                0.52574,                0.90524,                0.78548,                 0.6437,                0.70352,                0.45746,                 1.1645,                0.57714,                 0.9365,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0598,                0.52709,                0.90527,                0.85944,                 0.6841,                0.77069,                0.50117,                 1.1688,                0.56874,                  0.939,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0573,                 0.5324,                0.90168,                0.85341,                0.73935,                 0.7821,                0.49985,                 1.1632,                0.57098,                0.93514,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0604,                0.53518,                0.90906,                0.90246,                0.74196,                 0.7935,                0.50542,                 1.1827,                0.57072,                0.93958,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.0526,                0.52952,                0.90441,                0.82153,                0.69078,                0.74904,                0.49116,                 1.1666,                0.56281,                0.93469,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.0445,                0.51884,                0.90511,                0.85696,                0.71629,                0.77677,                 0.4996,                 1.1632,                  0.568,                0.93645,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0411,                0.51851,                0.90142,                0.82256,                0.69462,                0.74827,                0.48723,                 1.1744,                 0.5644,                0.93695,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.0351,                 0.5136,                0.89467,                0.82642,                0.71141,                0.77355,                0.51166,                 1.1642,                0.55068,                0.93557,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.0292,                 0.5095,                0.89957,                0.85039,                0.70953,                0.74431,                0.49001,                 1.1797,                 0.5626,                0.93713,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0307,                0.51058,                0.89656,                0.88463,                0.72494,                0.79187,                0.49819,                 1.1539,                0.55342,                 0.9339,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.0319,                0.50987,                0.89692,                0.83642,                0.68041,                0.78051,                0.50748,                 1.1471,                0.54233,                0.93091,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.0156,                0.50684,                0.89066,                0.84784,                0.73336,                0.79676,                0.51595,                 1.1523,                0.55824,                0.93372,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.0137,                0.49793,                0.89378,                0.90535,                0.70842,                0.78478,                0.50157,                 1.1677,                0.55792,                0.94142,             0.00039607,             0.00039607,             0.00039607
                     68,                  1.005,                0.49602,                0.89093,                0.80225,                0.70972,                0.77104,                0.51098,                 1.1584,                0.54481,                0.93546,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.0129,                0.49475,                0.89335,                0.84735,                0.70245,                0.76203,                0.48979,                 1.1549,                0.55436,                0.93618,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.0074,                0.49139,                0.88985,                0.81195,                0.69815,                 0.7845,                 0.5135,                 1.1668,                0.54399,                0.93919,             0.00036307,             0.00036307,             0.00036307
                     71,                0.98845,                0.48621,                0.88824,                 0.8647,                0.75166,                0.81702,                0.52718,                 1.1567,                0.53816,                0.93396,             0.00035208,             0.00035208,             0.00035208
                     72,                0.99066,                0.48108,                0.88945,                0.82414,                0.72356,                0.79108,                0.50266,                 1.1665,                0.55613,                0.93268,             0.00034108,             0.00034108,             0.00034108
                     73,                0.97733,                0.47743,                0.88563,                0.83375,                0.71003,                 0.7658,                0.50367,                 1.1636,                0.55118,                0.93264,             0.00033008,             0.00033008,             0.00033008
                     74,                0.99368,                0.48898,                0.88742,                0.79657,                0.73758,                0.78769,                 0.5111,                 1.1594,                0.54564,                0.93659,             0.00031908,             0.00031908,             0.00031908
                     75,                0.97219,                0.48085,                0.88422,                0.81523,                0.72574,                0.79623,                0.49692,                 1.1643,                0.54395,                 0.9338,             0.00030808,             0.00030808,             0.00030808
                     76,                0.98508,                0.47887,                0.88323,                0.82914,                0.68487,                0.75886,                0.50203,                 1.1618,                0.53761,                0.93465,             0.00029708,             0.00029708,             0.00029708
                     77,                0.95995,                0.47069,                0.88123,                0.82539,                0.68686,                0.78615,                0.51231,                 1.1595,                0.53543,                0.93655,             0.00028608,             0.00028608,             0.00028608
                     78,                0.96322,                0.47176,                0.88587,                0.78426,                0.69777,                0.76615,                0.50835,                 1.1626,                0.53757,                0.93651,             0.00027508,             0.00027508,             0.00027508
                     79,                0.94735,                0.45885,                0.88208,                0.84898,                0.71008,                0.77996,                0.51282,                 1.1566,                0.53554,                0.93371,             0.00026408,             0.00026408,             0.00026408
                     80,                0.95954,                0.46422,                0.88062,                0.88814,                0.72445,                0.79195,                0.50008,                 1.1628,                0.54046,                0.93834,             0.00025309,             0.00025309,             0.00025309
                     81,                0.95716,                0.46265,                 0.8796,                0.90534,                0.75603,                0.81449,                0.52042,                 1.1542,                0.52846,                0.93307,             0.00024209,             0.00024209,             0.00024209
                     82,                0.95016,                0.45915,                0.87758,                0.82763,                 0.7033,                0.75281,                0.50327,                 1.1537,                0.52717,                0.93729,             0.00023109,             0.00023109,             0.00023109
                     83,                0.93794,                 0.4521,                0.87453,                0.82542,                0.71307,                0.76831,                0.51633,                 1.1524,                0.52996,                0.93248,             0.00022009,             0.00022009,             0.00022009
                     84,                0.93692,                0.45608,                0.87571,                0.85322,                 0.7092,                0.75478,                0.50972,                 1.1506,                0.52963,                 0.9321,             0.00020909,             0.00020909,             0.00020909
                     85,                0.93724,                0.44938,                0.87396,                0.81614,                0.71453,                0.74128,                0.50197,                 1.1436,                0.52294,                0.93069,             0.00019809,             0.00019809,             0.00019809
                     86,                0.92723,                 0.4426,                0.87528,                0.80224,                  0.733,                0.77493,                0.51068,                 1.1575,                0.52371,                0.93547,             0.00018709,             0.00018709,             0.00018709
                     87,                0.92645,                 0.4469,                0.87066,                0.76332,                0.75894,                0.80888,                0.53158,                 1.1557,                 0.5213,                0.93453,             0.00017609,             0.00017609,             0.00017609
                     88,                0.93609,                0.45086,                0.87709,                0.84775,                0.69678,                 0.7893,                0.52108,                 1.1617,                0.51929,                0.93639,             0.00016509,             0.00016509,             0.00016509
                     89,                0.92351,                0.43948,                0.87005,                0.84374,                0.70773,                0.75859,                0.51289,                 1.1574,                0.51998,                0.93416,              0.0001541,              0.0001541,              0.0001541
                     90,                0.91396,                0.43648,                0.87089,                0.78601,                0.69568,                0.76209,                0.51469,                 1.1591,                0.52209,                0.93537,              0.0001431,              0.0001431,              0.0001431
                     91,                0.92613,                0.43326,                0.87367,                0.81198,                 0.7052,                0.75742,                0.50299,                   1.16,                0.52633,                0.93847,              0.0001321,              0.0001321,              0.0001321
                     92,                0.90626,                0.41832,                0.87153,                0.82683,                0.73057,                0.76833,                 0.5137,                 1.1482,                 0.5202,                0.93671,              0.0001211,              0.0001211,              0.0001211
                     93,                0.90855,                0.42209,                0.87129,                0.85965,                0.69774,                0.74972,                0.50485,                 1.1518,                0.51295,                0.93461,              0.0001101,              0.0001101,              0.0001101
                     94,                0.90097,                0.41642,                0.86913,                0.85239,                0.69752,                0.76268,                0.51259,                  1.151,                0.50947,                0.93567,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.89078,                0.41454,                0.86912,                0.83269,                 0.6834,                 0.7581,                0.51037,                 1.1506,                0.51406,                0.93493,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.88393,                0.40621,                0.86042,                0.83097,                 0.6878,                0.76194,                0.51286,                 1.1514,                0.51244,                0.93516,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.88249,                0.40835,                0.86884,                0.90188,                 0.6993,                 0.7792,                0.49876,                 1.1552,                0.51877,                0.93611,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.87299,                0.40414,                  0.863,                0.82299,                0.67286,                0.77259,                0.51696,                 1.1537,                0.51417,                0.93495,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 0.8701,                0.40141,                0.85783,                0.82339,                0.68226,                0.75381,                0.50338,                 1.1526,                0.51267,                0.93559,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.85931,                0.39679,                 0.8545,                0.81903,                0.70824,                0.75394,                0.50812,                 1.1474,                0.51238,                0.93405,             3.3108e-05,             3.3108e-05,             3.3108e-05
